A!NET_NAME!REFDES!PIN_NUMBER!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!PIN_CDS_PINID!PIN_TERMINATION!PIN_TERM_IDENT!PIN_NET_SHORT!PIN_XNET_PINS!
J!C:/EDM/grey_matter_server/brain_board/output/brain_board/physical/brain_board.brd!Mon Mar  8 11:32:41 2021!-7425.00!-10499.00!32575.00!24501.00!0.01!mils!BRAIN_BOARD!48.700000 mil!12!UP TO DATE!
S!GND!R291!1!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231574\!RES-202000050,R0402,RES,VISHAYB!!!F300!\M167231725\!!!!1!
S!N23155371!R291!2!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231574\!RES-202000050,R0402,RES,VISHAYB!!!F300!\M167231726\!!!!2!
S!1P8V!R292!1!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231575\!RES-202000050,R0402,RES,VISHAYB!!!F299!\M167231727\!!!!1!
S!N23155373!R292!2!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231575\!RES-202000050,R0402,RES,VISHAYB!!!F299!\M167231728\!!!!2!
S!N22979034!R293!1!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231565\!RES-202000050,R0402,RES,VISHAYB!!!F298!\M167231706\!!!!1!
S!3P3V!R293!2!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231565\!RES-202000050,R0402,RES,VISHAYB!!!F298!\M167231707\!!!!2!
S!N20899839!R296!1!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231501\!RES-202000050,R0402,RES,VISHAYB!!!F297!\M167231513\!!!!1,3!
S!ETH_TXCTL!R296!2!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231501\!RES-202000050,R0402,RES,VISHAYB!!!F297!\M167231514\!!!!2,3!
S!ETH_RXCTL!R297!1!@worklib.brain_board(tbl_1):\I1039646741\@worklib.gige_block(tbl_1):\I167231527\!RES-202000050,R0402,RES,VISHAYB!!!F296!\M167231582\!!!!1,3!
S!N23533198!R297!2!@worklib.brain_board(tbl_1):\I1039646741\@worklib.gige_block(tbl_1):\I167231527\!RES-202000050,R0402,RES,VISHAYB!!!F296!\M167231583\!!!!2,3!
S!N22979674!R329!1!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231568\!RES-202000050,R0402,RES,VISHAYB!!!F295!\M167231712\!!!!1!
S!2P5V!R329!2!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231568\!RES-202000050,R0402,RES,VISHAYB!!!F295!\M167231713\!!!!2!
S!N22955654!R330!1!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231569\!RES-202000050,R0402,RES,VISHAYB!!!F294!\M167231714\!!!!1!
S!VDD_DSP!R330!2!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231569\!RES-202000050,R0402,RES,VISHAYB!!!F294!\M167231715\!!!!2!
S!N22955725!R331!1!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231570\!RES-202000050,R0402,RES,VISHAYB!!!F293!\M167231716\!!!!1!
S!1P35V!R331!2!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231570\!RES-202000050,R0402,RES,VISHAYB!!!F293!\M167231717\!!!!2!
S!N23028604!R332!1!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231571\!RES-202000050,R0402,RES,VISHAYB!!!F292!\M167231718\!!!!1!
S!VDD_ADJ!R332!2!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231571\!RES-202000050,R0402,RES,VISHAYB!!!F292!\M167231719\!!!!2!
S!N23029208!R333!1!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231572\!RES-202000050,R0402,RES,VISHAYB!!!F291!\M167231720\!!!!1!
S!VDD_GPIO!R333!2!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231572\!RES-202000050,R0402,RES,VISHAYB!!!F291!\M167231721\!!!!2!
S!PS_MIO7!R334!1!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231523\!RES-202000050,R0402,RES,VISHAYB!!!F290!\M167231614\!!!!1,3!
S!USER_LED!R334!2!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231523\!RES-202000050,R0402,RES,VISHAYB!!!F290!\M167231615\!!!!2,3!
S!P0_USB_FLAG!R335!1!@worklib.brain_board(tbl_1):\I1039646732\@worklib.usb_block(tbl_1):\I167231535\!RES-202000050,R0402,RES,VISHAYB!!!F289!\M167231624\!!!!1!
S!PS_POR_L!R335!2!@worklib.brain_board(tbl_1):\I1039646732\@worklib.usb_block(tbl_1):\I167231535\!RES-202000050,R0402,RES,VISHAYB!!!F289!\M167231625\!!!!2!
S!N20900114!R59!1!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231496\!RES-202000050,R0402,RES,VISHAYB!!!F288!\M167231503\!!!!1,3!
S!ETH_TXCLK!R59!2!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231496\!RES-202000050,R0402,RES,VISHAYB!!!F288!\M167231504\!!!!2,3!
S!N20899988!R60!1!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231497\!RES-202000050,R0402,RES,VISHAYB!!!F287!\M167231505\!!!!1,3!
S!ETH_MDC!R60!2!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231497\!RES-202000050,R0402,RES,VISHAYB!!!F287!\M167231506\!!!!2,3!
S!ETH_RX_CLK!R71!1!@worklib.brain_board(tbl_1):\I1039646741\@worklib.gige_block(tbl_1):\I167231520\!RES-202000050,R0402,RES,VISHAYB!!!F286!\M167231568\!!!!1,3!
S!N20937479!R71!2!@worklib.brain_board(tbl_1):\I1039646741\@worklib.gige_block(tbl_1):\I167231520\!RES-202000050,R0402,RES,VISHAYB!!!F286!\M167231569\!!!!2,3!
S!PHY_CNFG!R74!1!@worklib.brain_board(tbl_1):\I1039646741\@worklib.gige_block(tbl_1):\I167231523\!RES-202000050,R0402,RES,VISHAYB!!!F285!\M167231574\!!!!1!
S!GND!R74!2!@worklib.brain_board(tbl_1):\I1039646741\@worklib.gige_block(tbl_1):\I167231523\!RES-202000050,R0402,RES,VISHAYB!!!F285!\M167231575\!!!!2!
S!VMODE_1!R75!1!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231522\!RES-202000050,R0402,RES,VISHAYB!!!F284!\M167231612\!!!!1,3!
S!N25693741!R75!2!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231522\!RES-202000050,R0402,RES,VISHAYB!!!F284!\M167231613\!!!!2,3!
S!GND!R76!1!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231536\!RES-202000050,R0402,RES,VISHAYB!!!F283!\M167231669\!!!!1!
S!QSPI_IO_3!R76!2!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231536\!RES-202000050,R0402,RES,VISHAYB!!!F283!\M167231670\!!!!2!
S!N21001971!R77!1!@worklib.brain_board(tbl_1):\I1039646741\@worklib.gige_block(tbl_1):\I167231524\!RES-202000050,R0402,RES,VISHAYB!!!F282!\M167231576\!!!!2!
S!!R77!2!@worklib.brain_board(tbl_1):\I1039646741\@worklib.gige_block(tbl_1):\I167231524\!RES-202000050,R0402,RES,VISHAYB!!!F282!\M167231577\!!!!1!
S!N21002298!R78!1!@worklib.brain_board(tbl_1):\I1039646741\@worklib.gige_block(tbl_1):\I167231525\!RES-202000050,R0402,RES,VISHAYB!!!F281!\M167231578\!!!!2!
S!!R78!2!@worklib.brain_board(tbl_1):\I1039646741\@worklib.gige_block(tbl_1):\I167231525\!RES-202000050,R0402,RES,VISHAYB!!!F281!\M167231579\!!!!1!
S!GND!R80!1!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231602\!RES-202000050,R0402,RES,VISHAYB!!!F280!\M167231883\!!!!1!
S!VADC_N!R80!2!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231602\!RES-202000050,R0402,RES,VISHAYB!!!F280!\M167231884\!!!!2!
S!GND!R81!1!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231603\!RES-202000050,R0402,RES,VISHAYB!!!F279!\M167231885\!!!!1!
S!VADC_P!R81!2!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231603\!RES-202000050,R0402,RES,VISHAYB!!!F279!\M167231886\!!!!2!
S!PB_RESET_L!R95!1!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231505\!RES-202000050,R0402,RES,VISHAYB!!!F277!\M167231579\!!!!1!
S!PS_POR_L!R95!2!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231505\!RES-202000050,R0402,RES,VISHAYB!!!F277!\M167231580\!!!!2!
S!N25161882!R96!1!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231506\!RES-202000050,R0402,RES,VISHAYB!!!F276!\M167231581\!!!!1!
S!PS_POR_L!R96!2!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231506\!RES-202000050,R0402,RES,VISHAYB!!!F276!\M167231582\!!!!2!
S!QSPI_IO_3!R97!1!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231537\!RES-202000050,R0402,RES,VISHAYB!!!F275!\M167231671\!!!!1!
S!JTAG_BOOT_EN!R97!2!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231537\!RES-202000050,R0402,RES,VISHAYB!!!F275!\M167231672\!!!!2!
S!PS_POR_L!R98!1!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231507\!RES-202000050,R0402,RES,VISHAYB!!!F274!\M167231583\!!!!1!
S!RESET_N!R98!2!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231507\!RES-202000050,R0402,RES,VISHAYB!!!F274!\M167231584\!!!!2!
S!JTAG_TDO!R10!1!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231597\!RES-202000047,R0402,RES,VISHAYB!!!F273!\M167231873\!!!!!
S!3P3V!R10!2!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231597\!RES-202000047,R0402,RES,VISHAYB!!!F273!\M167231874\!!!!!
S!DDR_RST_L!R111!1!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231555\!RES-202000047,R0402,RES,VISHAYB!!!F272!\M167231706\!!!!!
