A!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!REFDES!FUNC_PRIM_FILE!COMP_PARENT_PPT!COMP_PARENT_PPT_PART!COMP_PARENT_PART_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!FUNC_GROUP!FUNC_ROOM!FUNC_TERM_IDENT!FUNC_CDS_FSP_INSTANCE_ID!FUNC_CDS_FSP_IS_FPGA!FUNC_CDS_FSP_UID!
J!C:/EDM/grey_matter_server/brain_board/output/brain_board/physical/brain_board.brd!Mon Mar  8 11:32:41 2021!-7425.00!-10499.00!32575.00!24501.00!0.01!mils!BRAIN_BOARD!48.700000 mil!12!UP TO DATE!
S!@worklib.brain_board(tbl_1):\I1039646741\@worklib.gige_block(tbl_1):\I167231524\!RES-202000050,R0402,RES,VISHAYB!R77!discrete.resistor!!!RES!!!F282!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646741\@worklib.gige_block(tbl_1):\I167231525\!RES-202000050,R0402,RES,VISHAYB!R78!discrete.resistor!!!RES!!!F281!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231602\!RES-202000050,R0402,RES,VISHAYB!R80!discrete.resistor!!!RES!!!F280!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231603\!RES-202000050,R0402,RES,VISHAYB!R81!discrete.resistor!!!RES!!!F279!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231505\!RES-202000050,R0402,RES,VISHAYB!R95!discrete.resistor!!!RES!!!F277!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231506\!RES-202000050,R0402,RES,VISHAYB!R96!discrete.resistor!!!RES!!!F276!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231537\!RES-202000050,R0402,RES,VISHAYB!R97!discrete.resistor!!!RES!!!F275!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231507\!RES-202000050,R0402,RES,VISHAYB!R98!discrete.resistor!!!RES!!!F274!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231597\!RES-202000047,R0402,RES,VISHAYB!R10!discrete.resistor!!!RES!!!F273!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231555\!RES-202000047,R0402,RES,VISHAYB!R111!discrete.resistor!!!RES!!!F272!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231599\!RES-202000047,R0402,RES,VISHAYB!R12!discrete.resistor!!!RES!!!F271!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231493\!RES-202000047,R0402,RES,VISHAYB!R156!discrete.resistor!!!RES!!!F270!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231494\!RES-202000047,R0402,RES,VISHAYB!R157!discrete.resistor!!!RES!!!F269!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231495\!RES-202000047,R0402,RES,VISHAYB!R158!discrete.resistor!!!RES!!!F268!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231496\!RES-202000047,R0402,RES,VISHAYB!R159!discrete.resistor!!!RES!!!F267!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231498\!RES-202000047,R0402,RES,VISHAYB!R161!discrete.resistor!!!RES!!!F266!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231499\!RES-202000047,R0402,RES,VISHAYB!R162!discrete.resistor!!!RES!!!F265!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231500\!RES-202000047,R0402,RES,VISHAYB!R163!discrete.resistor!!!RES!!!F264!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231501\!RES-202000047,R0402,RES,VISHAYB!R164!discrete.resistor!!!RES!!!F263!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231509\!RES-202000047,R0402,RES,VISHAYB!R179!discrete.resistor!!!RES!!!F262!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231684\!RES-202000047,R0402,RES,VISHAYB!R18!discrete.resistor!!!RES!!!F261!!!!!!!
